"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","RANGE_TYPE_LABEL_EN","RANGE_TYPE_LABEL_FR","COOKTOP_TYPE_LABEL_EN","COOKTOP_TYPE_LABEL_FR","OVEN_EQUIP_TYPE_LABEL_EN","OVEN_EQUIP_TYPE_LABEL_FR","OVEN_TYPE_LABEL_EN","OVEN_TYPE_LABEL_FR","OVEN_COOK_METH_LABEL_EN","OVEN_COOK_METH_LABEL_FR","USE_OVEN_SPACE_LOWER","USE_OVEN_SPACE_UPPER","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
17965423,"YKSEG700E","KitchenAid",640,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
17965424,"YMES8880D","Maytag",744,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,143,"30","30"
17965425,"YWFE515S0E","Whirlpool",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,129,"30","30"
17965426,"YWFE715H0E","Whirlpool",593,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965427,"YMET8820D","Maytag",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,56,"30","30"
17965428,"YMET8720D","Maytag",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,56,"30","30"
17965429,"YWGE755C0B","Whirlpool",481,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,56,"30","30"
17965430,"YWGI925C0B","Whirlpool",245,"Freestanding","Autostable","induction","induction","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,56,"30","30"
17965431,"YMER8600D","Maytag",585,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
17965432,"YMER8700D","Maytag",582,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965433,"YMER8800*","Maytag",590,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965434,"YMER8850D","Maytag",597,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965435,"JES1450CD","Jenn-Air",560,"Built-in","Encastré","Smooth top","Surface vitrifiée","Double oven","Four double","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",14,152,"30","30"
17965436,"YIEL730C","Ikea",615,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,152,"30","30"
17965437,"YIES505D","Ikea",547,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,118,"30","30"
17965438,"YWEE730H0D","Whirlpool",622,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,143,"30","30"
17965439,"YWEE760H0D","Whirlpool",744,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,143,"30","30"
17965440,"YKFED500E","KitchenAid",552,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,57,"30","30"
17965441,"YKFID500E","KitchenAid",306,"Freestanding","Autostable","induction","induction","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,57,"30","30"
17965442,"YMER8650F","Maytag",586,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,155,"30","30"
17965443,"YMES8800F","Maytag",606,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,155,"30","30"
17965445,"YWEE995H0F","Whirlpool",618,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
17965446,"JIS1450D","Jenn-Air",256,"Built-in","Encastré","induction","induction","Double oven","Four double","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",14,152,"30","30"
17965447,"YWFE745H0F","Whirlpool",614,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,153,"30","30"
17965448,"YWEE745H0F","Whirlpool",636,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,149,"30","30"
17965449,"KSIB900E","KitchenAid",256,"Built-in","Encastré","induction","induction","Double oven","Four double","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",14,152,"30","30"
