"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","MOD_J1_AEC","DRYER_AEC","PROD_DESC_LABEL_EN","PROD_DESC_LABEL_FR","WASHER_TYPE_LABEL_EN","WASHER_TYPE_LABEL_FR","AVG_L_PER_CYCLE","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","WASHER_CAPACITY","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L","DRYER_TYPE_LABEL_EN","DRYER_TYPE_LABEL_FR","DRYER_CAPACITY","DRYER_CONTROL_LABEL_EN","DRYER_CONTROL_LABEL_FR"
11818193,"BTEE6***283+","IPSO",1030,90,940,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Front-loading standard","Ordinaire à chargement frontal",48.4,"240 V","240 V",96.8,"adaptive","adaptif",82.29,0.5,18972.8,"Standard","Ordinaire",198,"Auto-moisture","Capteur d'humidité"
11819058,"FFLE40C3***","Frigidaire",1190,220,970,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading standard","Ordinaire à chargement par le haut",63.484,"240 V","240 V",107.6,"adaptive","adaptif",63.7,0.59,24885.728,"Standard","Ordinaire",154,"Auto-moisture","Capteur d'humidité"
11819059,"FFLE39C1***","Frigidaire",1190,220,970,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading standard","Ordinaire à chargement par le haut",63.484,"240 V","240 V",107.6,"adaptive","adaptif",63.7,0.59,24885.728,"Standard","Ordinaire",154,"Auto-moisture","Capteur d'humidité"
12117953,"C268143#5**","Kenmore",621,202,419,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading compact","Compacte à chargement par le haut",71.045,"240 V","240 V",43.32,"adaptive","adaptif",18.4,1.64,27849.64,"Compact","Compacte",96.3,"Auto-temperature","Capteur de température"
12117954,"YWET4024E#**","Whirlpool",621,202,419,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading compact","Compacte à chargement par le haut",71.045,"240 V","240 V",43.32,"adaptive","adaptif",18.4,1.64,27849.64,"Compact","Compacte",96.3,"Auto-temperature","Capteur de température"
12117955,"YWET4027E#**","Whirlpool",1092,182,910,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading standard","Ordinaire à chargement par le haut",91.338,"240 V","240 V",71.92,"adaptive","adaptif",35.68,1.27,35804.496,"Standard","Ordinaire",167,"Auto-temperature","Capteur de température"
12117956,"WGT4027E#**","Whirlpool",182,182,0,"Over-under with gas dryer","Superposée avec sécheuse à gaz","Top-loading standard","Ordinaire à chargement par le haut",91.338,"120 V","120 V",71.92,"adaptive","adaptif",35.68,1.27,35804.496,"Standard","Ordinaire",167,"Auto-temperature","Capteur de température"
12879578,"WD2100XC(NA).1","Splendide",355,104,251,"All-in-one tub with air-to-air condensing dryer","Monobloc avec sécheuse à condensation air à air","Front-loading standard","Ordinaire à chargement frontal",27.832,"120 V","120 V",51.54,"adaptive","adaptif",70.8,0.54,10910.144,"Compact","Compacte",51.54,"Timed","À minuterie"
12879579,"WDC7100XCNA.1","Splendide",593,96,497,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",26.801,"120 V","120 V",51.54,"adaptive","adaptif",73.5,0.52,10505.992,"Compact","Compacte",51.54,"Auto-moisture","Capteur d'humidité"
12879580,"ARWDF129NA.1","Ariston",593,96,497,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",26.801,"120 V","120 V",51.54,"adaptive","adaptif",73.5,0.52,10505.992,"Compact","Compacte",51.54,"Auto-moisture","Capteur d'humidité"
12879581,"ARWDF129SNA.1","Ariston",593,96,497,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",26.801,"120 V","120 V",51.54,"adaptive","adaptif",73.5,0.52,10505.992,"Compact","Compacte",51.54,"Auto-moisture","Capteur d'humidité"
12987080,"970L9752***","Kenmore",1190,220,970,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading standard","Ordinaire à chargement par le haut",63.484,"240 V","240 V",107.6,"adaptive","adaptif",63.7,0.59,24885.728,"Standard","Ordinaire",154,"Auto-moisture","Capteur d'humidité"
12987081,"970L9742***","Kenmore",1190,220,970,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Top-loading standard","Ordinaire à chargement par le haut",63.484,"240 V","240 V",107.6,"adaptive","adaptif",63.7,0.59,24885.728,"Standard","Ordinaire",154,"Auto-moisture","Capteur d'humidité"
