"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
11207889,"C6513#41**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207890,"C6613#41**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207891,"C6713#41**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207892,"YWED97HEDB#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
11207896,"YWED99HED#**","Whirlpool",748,1.76,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
11776214,"ZDEE9***173+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776215,"ZDEE8***173+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776216,"YDEE7***173+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776217,"YDEE7***153+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776218,"YDEE5***173+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776219,"UDEE5***173+","Unimac",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776220,"BDEE6***173+","IPSO",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776221,"ZDE3S***173+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11776222,"DDE30***173+","EuroDesign",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11818131,"CARE4044***","Frigidaire",972,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818132,"CARE1011***","Frigidaire",972,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
11818133,"CFRE1001***","Frigidaire",972,1.36,"Standard","Ordinaire","240 V","240 V",198.2,"auto moisture","Automatique de l'humidité"
