"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
15799285,"Kenmore","5199#",80,"Top-loading compact","Compacte à chargement par le haut",54.247,"Household","Résidentiel","-","-",28.18,"No","Non","Adaptive","Adaptif",24.352,1.925,21264.824
15799286,"LG","WM3770H*A",135,"Front-loading standard","Ordinaire à chargement frontal",54.399,"Household","Résidentiel","-","-",127.1,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21324.408
15799287,"LG","WM3670H*A",130,"Front-loading standard","Ordinaire à chargement frontal",54.228,"Household","Résidentiel","-","-",126.7,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21257.376
15799289,"Kenmore","4139#",120,"Front-loading standard","Ordinaire à chargement frontal",54.45,"Household","Résidentiel","-","-",127.22,"No","Non","Adaptive","Adaptif",82.685,0.428,21344.4
15799290,"Kenmore","4126#",120,"Front-loading standard","Ordinaire à chargement frontal",54.228,"Household","Résidentiel","-","-",126.7,"No","Non","Adaptive","Adaptif",82.685,0.428,21257.376
15799775,"Kenmore","592-4967*",95,"Front-loading standard","Ordinaire à chargement frontal",47.073,"Household","Résidentiel","-","-",120.7,"Yes","Oui","Adaptive","Adaptif",90.74,0.39,18452.616
15799776,"Kenmore","592-4966*",95,"Front-loading standard","Ordinaire à chargement frontal",47.073,"Household","Résidentiel","-","-",120.7,"Yes","Oui","Adaptive","Adaptif",90.74,0.39,18452.616
15799777,"Kenmore","592-4965*",95,"Front-loading standard","Ordinaire à chargement frontal",45.942,"Household","Résidentiel","-","-",117.8,"Yes","Oui","Adaptive","Adaptif",90.68,0.39,18009.264
15799778,"Kenmore","592-4964*",95,"Front-loading standard","Ordinaire à chargement frontal",45.942,"Household","Résidentiel","-","-",117.8,"Yes","Oui","Adaptive","Adaptif",90.68,0.39,18009.264
15799779,"Kenmore","592-4962*",95,"Front-loading standard","Ordinaire à chargement frontal",45.942,"Household","Résidentiel","-","-",117.8,"Yes","Oui","Adaptive","Adaptif",90.68,0.39,18009.264
15799780,"Kenmore","592-4961*",95,"Front-loading standard","Ordinaire à chargement frontal",45.942,"Household","Résidentiel","-","-",117.8,"Yes","Oui","Adaptive","Adaptif",90.68,0.39,18009.264
15799781,"Kenmore","592-4968*",90,"Front-loading standard","Ordinaire à chargement frontal",45.54,"Household","Résidentiel","-","-",126.5,"Yes","Oui","Adaptive","Adaptif",96.96,0.36,17851.68
15799782,"Samsung","WA45K76**A*",160,"Top-loading standard","Ordinaire à chargement par le haut",72.219,"Household","Résidentiel","-","-",126.7,"Yes","Oui","Adaptive","Adaptif",68.88,0.57,28309.848
15799783,"Samsung","WA45K71**A*",160,"Top-loading standard","Ordinaire à chargement par le haut",72.219,"Household","Résidentiel","-","-",126.7,"Yes","Oui","Adaptive","Adaptif",68.88,0.57,28309.848
15799784,"Samsung","WF45K62**A*",95,"Front-loading standard","Ordinaire à chargement frontal",48.07,"Household","Résidentiel","-","-",126.5,"Yes","Oui","Adaptive","Adaptif",97.66,0.38,18843.44
15799785,"Samsung","WF45K65**A*",127,"Front-loading standard","Ordinaire à chargement frontal",49.335,"Household","Résidentiel","-","-",126.5,"Yes","Oui","Adaptive","Adaptif",92.29,0.39,19339.32
15799786,"Samsung","WF50K75**A*",135,"Front-loading standard","Ordinaire à chargement frontal",53.276,"Household","Résidentiel","-","-",140.2,"Yes","Oui","Adaptive","Adaptif",95.43,0.38,20884.192
16103031,"Maytag","MHN33PDCX**",110,"Front-loading standard","Ordinaire à chargement frontal",40.552,"Commercial","Commerciale","Coin","À pièce",86.65,"No","Non","Adaptive","Adaptif",69.378,0.468,15896.384
16293772,"GE","GTW330A*K***",235,"Top-loading standard","Ordinaire à chargement par le haut",117.284,"Household","Résidentiel","-","-",107.6,"No","Non","Manual","Manuel",53.1,1.09,45975.328
16293773,"GE","GTW220A*K***",235,"Top-loading standard","Ordinaire à chargement par le haut",117.284,"Household","Résidentiel","-","-",107.6,"No","Non","Manual","Manuel",53.1,1.09,45975.328
16301581,"Electrolux","EFLS617****",108,"Front-loading standard","Ordinaire à chargement frontal",53.148,"Household","Résidentiel","-","-",123.6,"Yes","Oui","Adaptive","Adaptif",96.8,0.43,20834.016
16301582,"Electrolux","EFLS517****",108,"Front-loading standard","Ordinaire à chargement frontal",51.944,"Household","Résidentiel","-","-",120.8,"Yes","Oui","Adaptive","Adaptif",92,0.43,20362.048
16303533,"Whirlpool","WTW4616F**",274,"Top-loading standard","Ordinaire à chargement par le haut",125.857,"Household","Résidentiel","-","-",99.1,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.27,49335.944
16303534,"Whirlpool","WTW4816F**",274,"Top-loading standard","Ordinaire à chargement par le haut",125.857,"Household","Résidentiel","-","-",99.1,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.27,49335.944
