"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","EG_WEB_FREEZER_LOC_LABEL_EN","EG_WEB_FREEZER_LOC_LABEL_FR","TOTAL_VOL_LIT","TOTAL_VOL_CUB","SIZE_CATEGORY","EG_WEB_TTD_ICE_LABEL_EN","EG_WEB_TTD_ICE_LABEL_FR","FRESH_VOL_LIT","FRESH_VOL_CUB","FREEZER_VOL_LIT","FREEZER_VOL_CUB"
15799570,"7316#","Kenmore",552,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",807.2,28.5,14,"Yes","Oui",526.8,18.6,280.4,9.9
15799571,"LFXS32736*","LG",546,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",897.8,31.7,15,"Yes","Oui",591.9,20.9,305.9,10.8
15799572,"GFE28GGK****","GE",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799573,"GFE28GMK****","GE",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799574,"GFE28GSK****","GE",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799575,"DFE28JMK****","GE",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799576,"DFE28JSK****","GE",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799577,"PWE23KSK****","GE Profile",433,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",653.84,23.1,11,"No","Non",451.09,15.93,202.75,7.16
15799578,"PWE23KMK****","GE Profile",433,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",653.84,23.1,11,"No","Non",451.09,15.93,202.75,7.16
15799579,"GFE26GGK****","GE",525,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",730.57,25.8,12,"Yes","Oui",487.33,17.21,243.24,8.59
15799580,"GFE26GMK****","GE",525,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",730.57,25.8,12,"Yes","Oui",487.33,17.21,243.24,8.59
15799581,"GFE26GSK****","GE",525,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",730.57,25.8,12,"Yes","Oui",487.33,17.21,243.24,8.59
15799582,"GNE29GGK****","GE",481,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",812.98,28.7,14,"No","Non",553.31,19.54,259.67,9.17
15799583,"GNE29GMK****","GE",481,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",812.98,28.7,14,"No","Non",553.31,19.54,259.67,9.17
15799584,"GNE29GSK****","GE",481,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",812.98,28.7,14,"No","Non",553.31,19.54,259.67,9.17
15799585,"PYE22PSK****","GE Profile",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799586,"PYE22PMK****","GE Profile",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799587,"PYE22KSK****","GE Profile",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799588,"PYE22KMK****","GE Profile",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799589,"GYE22HMK****","GE",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799590,"GYE22HSK****","GE",492,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",629.48,22.2,10,"Yes","Oui",426.73,15.07,202.75,7.16
15799591,"PFE28PMK****","GE Profile",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799592,"PFE28PSK****","GE Profile",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799593,"PFE28KMK****","GE Profile",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799594,"PFE28KSK****","GE Profile",542,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",788.06,27.8,13,"Yes","Oui",528.39,18.66,259.67,9.17
15799746,"299-5786","Hisense",217,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",81,2.9,1,"No","Non",81,2.9,0,0
15799755,"WRR56X18F***","Whirlpool",293,"Refrigerator","Réfrigérateur","Automatic","Automatique","No freezer","Sans congélateur",501.2,17.7,8,"No","Non",501.2,17.7,0,0
15799934,"BI-36UFD**/*/**","Sub-Zero",571,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",593.8,20.97,10,"No","Non",447.97,15.82,145.83,5.15
15799935,"BI-42UFD**/*/**","Sub-Zero",589,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",685.26,24.2,11,"No","Non",506.87,17.9,178.39,6.3
15799936,"BI-42SD/*/**","Sub-Zero",703,"Refrigerator","Réfrigérateur","Automatic","Automatique","Side","Latéral",676.77,23.9,11,"Yes","Oui",452.78,15.99,223.98,7.91
15799937,"BI-48SD/*/**","Sub-Zero",760,"Refrigerator","Réfrigérateur","Automatic","Automatique","Side","Latéral",802.78,28.35,13,"Yes","Oui",531.22,18.76,271.55,9.59
15799938,"BI-42SID/*/**","Sub-Zero",651,"Refrigerator","Réfrigérateur","Automatic","Automatique","Side","Latéral",671.39,23.71,11,"No","Non",447.4,15.8,223.98,7.91
15799939,"BI-48SID/*/**","Sub-Zero",678,"Refrigerator","Réfrigérateur","Automatic","Automatique","Side","Latéral",797.11,28.15,13,"No","Non",525.56,18.56,271.55,9.59
15799940,"UC-24B*/*/**","Sub-Zero",430,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",169.33,5.98,2,"No","Non",169.33,5.98,0,0
